formula,cif_path,n_atoms,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,volume_A3,eform_eV_per_atom,eform_method,spg_number,spg_symbol,point_group,is_polar,in_top30,rank
ZnPSe3I,data/structures/ZnPSe3I/ZnPSe3I_7_e2.1302.cif,6,5.6121,5.663,6.2407,90.3151,90.0694,90.6962,198.322,-0.164632,M3GNet-Eform-MP-2019.4.1,8,Cm,m,True,False,
GaPSe3I,data/structures/GaPSe3I/GaPSe3I_3_e2.3834.cif,6,4.3734,6.9704,7.1248,74.9986,86.286,84.4726,208.637,-0.162633,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
PPbSe3I,data/structures/PbPSe3I/PbPSe3I_1_e2.2421.cif,6,4.3148,6.7478,7.7802,78.919,74.4159,70.9204,204.845,-0.149121,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
PPbSe3I,data/structures/PbPSe3I/PbPSe3I_2_e2.2421.cif,6,4.0086,6.6212,7.8907,71.7671,75.6363,72.3188,186.792,-0.148399,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
CdPSe3I,data/structures/CdPSe3I/CdPSe3I_2_e2.0984.cif,6,4.3188,4.3832,11.12,79.5108,78.9496,60.5639,178.975,-0.146192,M3GNet-Eform-MP-2019.4.1,160,R3m,3m,True,False,
GaPSe3I,data/structures/GaPSe3I/GaPSe3I_5_e2.3834.cif,6,4.1281,6.8579,7.6057,81.0683,75.6138,73.4286,199.078,-0.146191,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
ZnPSe3I,data/structures/ZnPSe3I/ZnPSe3I_6_e2.1302.cif,6,3.9342,6.5535,7.8937,73.4354,74.9879,72.5812,182.743,-0.127211,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
SnPSe3I,data/structures/SnPSe3I/SnPSe3I_8_e2.4253.cif,6,3.9733,6.6602,7.4058,101.708,105.8293,90.075,184.289,-0.12612,M3GNet-Eform-MP-2019.4.1,8,Cm,m,True,False,
SnPSe3I,data/structures/SnPSe3I/SnPSe3I_6_e2.4253.cif,6,4.136,4.1421,12.4689,89.8044,89.9026,120.2317,184.561,-0.112228,M3GNet-Eform-MP-2019.4.1,156,P3m1,3m,True,False,
AlPSe3I,data/structures/AlPSe3I/AlPSe3I_4_e2.4750.cif,6,4.0913,6.846,8.5369,80.9854,76.1196,73.4631,221.52,-0.091329,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
SnPSe3I,data/structures/SnPSe3I/SnPSe3I_4_e2.4253.cif,6,3.9721,6.8256,7.8598,79.0739,75.2513,72.898,195.44,-0.088014,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
BiPSe3I,data/structures/BiPSe3I/BiPSe3I_4_e2.2627.cif,6,3.9692,6.3881,8.5471,79.2232,76.5774,72.1455,199.068,-0.079145,M3GNet-Eform-MP-2019.4.1,8,Cm,m,True,False,
SnPSe3I,data/structures/SnPSe3I/SnPSe3I_2_e2.4253.cif,6,4.0088,6.7329,7.3379,102.2014,105.8273,89.7807,185.937,-0.074988,M3GNet-Eform-MP-2019.4.1,8,Cm,m,True,False,
GaPS3I,data/structures/GaPS3I/GaPS3I_5_e2.6519.cif,6,4.3099,5.0617,8.9046,80.4037,76.8804,64.0334,169.586,-0.059652,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
AlPSe3I,data/structures/AlPSe3I/AlPSe3I_3_e2.4750.cif,6,3.8486,6.8919,8.0842,89.5975,89.5489,90.3231,214.409,-0.056231,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
AlPSe3I,data/structures/AlPSe3I/AlPSe3I_1_e2.4750.cif,6,3.9792,6.0258,8.7485,87.7254,82.0163,75.8086,201.396,-0.042795,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
PPbSe3I,data/structures/PbPSe3I/PbPSe3I_3_e2.2421.cif,6,4.7301,5.4909,9.5798,76.9399,75.1292,62.7543,212.085,-0.041622,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
GaPSe3I,data/structures/GaPSe3I/GaPSe3I_7_e2.3834.cif,6,4.1241,6.8017,8.5423,83.8985,75.9511,72.5016,221.553,0.016681,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
SnPSe3I,data/structures/SnPSe3I/SnPSe3I_5_e2.4253.cif,6,3.982,6.6716,8.2745,82.8153,77.7393,73.9257,205.897,0.022646,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
CdPSe3I,data/structures/CdPSe3I/CdPSe3I_7_e2.0984.cif,6,4.1107,4.2093,11.8235,80.0562,79.7702,59.9566,173.441,0.033121,M3GNet-Eform-MP-2019.4.1,160,R3m,3m,True,False,
